model,price,transmission,mileage,fuelType,tax,mpg,engineSize
 2 Series,9500,Manual,59509,Diesel,20,68.9,2
 3 Series,17950,Automatic,43703,Other,140,134.5,2
 1 Series,14200,Automatic,36858,Diesel,125,60.1,2
 1 Series,12100,Automatic,25786,Diesel,0,74.3,2
 1 Series,12700,Automatic,24592,Diesel,20,68.9,2
 1 Series,8800,Manual,51002,Diesel,0,83.1,1.5
 1 Series,15000,Automatic,26052,Diesel,145,68.9,2
 3 Series,17100,Automatic,31528,Diesel,145,64.2,2
 1 Series,13400,Manual,18055,Petrol,125,52.3,1.5
 3 Series,9900,Automatic,63223,Diesel,20,68.9,2
 1 Series,13700,Manual,8719,Petrol,125,52.3,1.5
 4 Series,16900,Automatic,27133,Petrol,145,44.8,2
 5 Series,21950,Automatic,21947,Diesel,150,68.9,2
 3 Series,17000,Automatic,31501,Other,0,134.5,2
 1 Series,13750,Automatic,8707,Petrol,30,55.5,1.5
 1 Series,12800,Manual,10861,Petrol,125,53.3,1.5
 4 Series,16000,Manual,16359,Petrol,145,46.3,2
 4 Series,16600,Automatic,46913,Diesel,145,65.7,2
 3 Series,15100,Manual,37747,Diesel,125,60.1,2
 4 Series,16750,Manual,24882,Petrol,145,46.3,2
 1 Series,12450,Manual,24474,Petrol,125,52.3,1.5
 3 Series,15700,Automatic,29394,Petrol,145,48.7,2
 5 Series,12600,Manual,59528,Diesel,125,60.1,2
 2 Series,14600,Manual,15577,Petrol,160,44.1,2
 3 Series,16900,Automatic,12330,Diesel,30,64.2,2
 4 Series,15998,Semi-Auto,62943,Diesel,30,65.7,2
 2 Series,27998,Manual,1580,Petrol,150,43.5,1.5
 3 Series,11998,Manual,11545,Petrol,165,44.8,2
 2 Series,25998,Automatic,3160,Hybrid,140,113,1.5
 1 Series,31998,Semi-Auto,1560,Diesel,150,48.7,2
 1 Series,14995,Manual,19866,Diesel,30,65.7,2
 4 Series,17995,Semi-Auto,22476,Petrol,145,48.7,2
 1 Series,14498,Semi-Auto,42786,Petrol,235,37.7,3
 1 Series,10998,Manual,42410,Diesel,30,65.7,2
 5 Series,11998,Semi-Auto,60681,Diesel,125,57.6,2
 3 Series,16998,Semi-Auto,8096,Petrol,145,51.4,2
 1 Series,11498,Manual,49151,Diesel,30,62.8,2
 1 Series,19498,Semi-Auto,33043,Petrol,200,39.8,3
 5 Series,25998,Semi-Auto,11115,Diesel,145,65.7,2
 1 Series,13298,Manual,55834,Petrol,300,35.3,3
 3 Series,21898,Semi-Auto,5761,Diesel,150,55.4,2
 1 Series,11498,Semi-Auto,47110,Diesel,0,78.5,1.5
 5 Series,14998,Semi-Auto,45152,Diesel,30,62.8,2
 2 Series,10498,Manual,52091,Diesel,125,58.9,2
 1 Series,19998,Semi-Auto,4812,Petrol,145,47.9,2
 3 Series,27998,Semi-Auto,4250,Diesel,145,48.7,2
 5 Series,27798,Semi-Auto,15711,Diesel,145,60.1,3
 1 Series,18298,Manual,21236,Petrol,260,36.2,3
 1 Series,14698,Semi-Auto,24008,Petrol,145,55.5,1.5
 1 Series,19498,Manual,21171,Petrol,260,36.2,3
 1 Series,14498,Manual,24259,Petrol,145,52.3,1.5
 5 Series,22998,Semi-Auto,19379,Diesel,145,65.7,2
 1 Series,14498,Manual,20790,Diesel,145,70.6,1.5
 5 Series,29898,Semi-Auto,2743,Diesel,145,60.1,2
 3 Series,22998,Semi-Auto,6000,Petrol,145,48.7,2
 3 Series,29998,Manual,3980,Diesel,145,53.3,2
 4 Series,29898,Semi-Auto,101,Diesel,145,60.1,2
 5 Series,20498,Semi-Auto,12725,Diesel,145,68.9,2
 3 Series,27650,Semi-Auto,18200,Diesel,150,48.7,2
 4 Series,22995,Automatic,7200,Petrol,145,48.7,2
 5 Series,26995,Automatic,6800,Diesel,145,68.9,2
 1 Series,11995,Manual,31600,Diesel,125,57.6,2
 5 Series,25995,Semi-Auto,8700,Diesel,145,49.6,2
 3 Series,21495,Semi-Auto,16452,Petrol,150,48.7,2
 5 Series,22998,Automatic,15838,Diesel,145,60.1,2
 5 Series,34498,Automatic,6775,Diesel,145,51.4,3
 1 Series,18498,Semi-Auto,11234,Diesel,145,68.9,2
 1 Series,17998,Manual,25334,Petrol,300,35.3,3
 3 Series,18498,Semi-Auto,36501,Diesel,145,53.3,3
 2 Series,23998,Semi-Auto,2318,Petrol,145,47.9,2
 3 Series,22000,Semi-Auto,30000,Diesel,150,53.3,3
 1 Series,16000,Manual,40125,Petrol,305,35.3,3
 3 Series,18000,Manual,20087,Petrol,165,44.8,2
 3 Series,22500,Semi-Auto,11150,Petrol,145,48.7,2
 1 Series,15500,Manual,5827,Petrol,145,37.7,1.5
 4 Series,29000,Semi-Auto,14000,Diesel,145,50.4,3
 4 Series,24700,Semi-Auto,5196,Diesel,145,65.7,2
 2 Series,24000,Semi-Auto,2500,Petrol,145,39.2,1.5
 1 Series,16000,Manual,7000,Diesel,145,50.4,1.5
 1 Series,32000,Semi-Auto,4493,Petrol,145,34.5,2
 3 Series,16998,Semi-Auto,43695,Hybrid,0,134.5,2
 1 Series,15798,Semi-Auto,23157,Petrol,145,54.3,1.5
 3 Series,20000,Semi-Auto,39700,Diesel,160,50.4,3
 5 Series,28000,Semi-Auto,5739,Diesel,145,62.8,2
 1 Series,16000,Semi-Auto,24275,Diesel,145,68.9,1.5
 4 Series,20800,Semi-Auto,14774,Diesel,125,58.9,2
 3 Series,20500,Semi-Auto,12133,Petrol,145,48.7,2
