model,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,26850,Semi-Auto,7079,Diesel,145,65.7,2
 2 Series,18950,Manual,6311,Petrol,145,42.8,1.5
 3 Series,23980,Semi-Auto,1489,Petrol,145,47.9,2
 3 Series,24450,Semi-Auto,9522,Diesel,145,62.8,2
 4 Series,19000,Semi-Auto,26289,Petrol,145,48.7,2
 1 Series,18390,Automatic,4237,Petrol,145,54.3,1.5
 3 Series,17998,Semi-Auto,23106,Hybrid,0,134.5,2
 2 Series,31990,Semi-Auto,99,Petrol,145,38.2,3
 1 Series,11499,Semi-Auto,46327,Diesel,0,78.5,1.5
 1 Series,14999,Manual,32082,Diesel,145,70.6,1.5
 3 Series,10999,Automatic,90018,Diesel,20,70.6,2
 1 Series,12291,Manual,45228,Diesel,145,72.4,1.5
 1 Series,14830,Semi-Auto,18095,Diesel,30,65.7,2
 1 Series,12760,Manual,27759,Diesel,30,65.7,2
 1 Series,7131,Manual,73919,Diesel,30,65.7,2
 4 Series,24975,Semi-Auto,5866,Diesel,145,65.7,2
 5 Series,26350,Semi-Auto,3623,Diesel,145,65.7,2
 1 Series,12475,Manual,17550,Petrol,30,56.5,1.5
 1 Series,23780,Semi-Auto,5939,Petrol,145,40.4,1.5
 3 Series,24990,Manual,4850,Diesel,145,64.2,2
 2 Series,21945,Semi-Auto,10086,Petrol,145,47.9,2
 3 Series,14990,Manual,33201,Petrol,150,48.7,2
 2 Series,17498,Semi-Auto,18970,Petrol,145,51.4,1.5
 5 Series,16998,Semi-Auto,31322,Diesel,145,53.3,3
 3 Series,16298,Semi-Auto,22867,Diesel,145,56.5,3
 3 Series,24498,Semi-Auto,14897,Diesel,145,52.3,2
 2 Series,21890,Semi-Auto,11,Petrol,145,50.4,1.5
 2 Series,22980,Manual,10,Petrol,145,47.1,1.5
 4 Series,26990,Semi-Auto,5,Diesel,145,65.7,2
 5 Series,26990,Semi-Auto,13,Petrol,145,50.4,2
 1 Series,12990,Manual,22700,Diesel,20,72.4,1.5
 1 Series,12990,Semi-Auto,25843,Petrol,30,55.5,1.5
 1 Series,19290,Semi-Auto,32233,Petrol,200,39.8,3
 2 Series,23480,Manual,1500,Petrol,145,42.8,1.5
 5 Series,29980,Semi-Auto,1500,Petrol,145,50.4,2
 4 Series,30980,Semi-Auto,2649,Petrol,145,41.5,3
 3 Series,31450,Semi-Auto,4460,Petrol,145,40.9,2
 3 Series,24990,Manual,4293,Diesel,145,64.2,2
 3 Series,23990,Manual,5996,Diesel,145,67.3,2
 3 Series,29450,Semi-Auto,4250,Diesel,145,53.3,2
 5 Series,31875,Semi-Auto,15,Petrol,145,48.7,2
 4 Series,23980,Semi-Auto,14,Petrol,145,45.6,2
 3 Series,17990,Semi-Auto,28589,Diesel,145,62.8,2
 4 Series,29980,Semi-Auto,1737,Diesel,145,53.3,3
 3 Series,23990,Manual,18,Diesel,145,56.5,2
 3 Series,28450,Semi-Auto,7350,Diesel,145,48.7,2
 5 Series,26350,Semi-Auto,3753,Diesel,145,65.7,2
 5 Series,26350,Semi-Auto,7106,Diesel,145,65.7,2
 4 Series,15957,Manual,33805,Diesel,30,62.8,2
 1 Series,15224,Manual,12102,Petrol,145,37.7,1.5
 3 Series,24450,Manual,2323,Diesel,145,54.3,2
 3 Series,24450,Manual,3340,Diesel,145,54.3,2
 5 Series,36850,Semi-Auto,13,Hybrid,145,44.8,2
 5 Series,29450,Semi-Auto,5325,Diesel,145,60.1,2
 3 Series,29990,Semi-Auto,8235,Diesel,145,48.7,2
 3 Series,28450,Semi-Auto,8349,Petrol,145,43.5,2
 4 Series,24975,Semi-Auto,5022,Diesel,145,65.7,2
 4 Series,24975,Semi-Auto,11736,Diesel,145,65.7,2
 5 Series,31990,Semi-Auto,10,Petrol,145,50.4,2
 5 Series,32850,Semi-Auto,9,Hybrid,145,47.9,2
 3 Series,24490,Manual,5,Diesel,145,56.5,2
 2 Series,22990,Manual,12,Diesel,145,60.1,2
 3 Series,41990,Semi-Auto,9,Petrol,145,34.9,3
 2 Series,21945,Semi-Auto,8377,Petrol,145,47.9,2
 4 Series,24740,Semi-Auto,11,Petrol,145,48.7,2
 5 Series,16990,Semi-Auto,34250,Diesel,30,62.8,2
 1 Series,24980,Semi-Auto,5000,Petrol,145,42.8,1.5
 4 Series,16730,Manual,17309,Diesel,30,62.8,2
 1 Series,15965,Manual,30000,Petrol,305,35.3,3
 4 Series,17465,Semi-Auto,40500,Diesel,150,55.4,3
 2 Series,19240,Automatic,13077,Petrol,145,47.9,2
 3 Series,18650,Semi-Auto,29751,Diesel,145,60.1,2
 4 Series,14999,Semi-Auto,15056,Petrol,160,44.8,2
 1 Series,14780,Manual,23552,Diesel,145,72.4,1.5
 3 Series,31450,Semi-Auto,4568,Petrol,145,41.5,2
 1 Series,16950,Semi-Auto,12345,Diesel,145,74.3,2
 3 Series,25750,Semi-Auto,12647,Diesel,145,52.3,2
 3 Series,25750,Semi-Auto,10568,Diesel,145,52.3,2
 1 Series,18480,Semi-Auto,14193,Petrol,145,54.3,1.5
 5 Series,26350,Semi-Auto,5453,Diesel,145,65.7,2
 2 Series,22450,Manual,10,Diesel,145,64.2,2
 3 Series,29990,Semi-Auto,12,Diesel,145,49.6,2
 3 Series,23850,Semi-Auto,15,Petrol,145,42.2,2
 4 Series,37450,Semi-Auto,11,Diesel,145,47.9,3
 3 Series,19895,Semi-Auto,11700,Diesel,145,64.2,2
 3 Series,23980,Semi-Auto,4063,Diesel,145,62.8,2
 3 Series,29990,Manual,10,Diesel,145,54.3,2
 2 Series,21480,Semi-Auto,1850,Petrol,145,50.4,1.5
 4 Series,22480,Semi-Auto,4020,Diesel,145,60.1,2
 2 Series,20980,Semi-Auto,4691,Diesel,145,47.1,2
 5 Series,28990,Semi-Auto,5471,Petrol,145,48.7,2
 5 Series,31880,Semi-Auto,4669,Diesel,145,60.1,3
 3 Series,31450,Semi-Auto,4682,Petrol,145,40.9,2
 2 Series,23975,Manual,10,Diesel,145,60.1,2
 2 Series,23940,Semi-Auto,9,Diesel,145,62.8,2
 5 Series,31875,Semi-Auto,12,Petrol,145,48.7,2
 2 Series,19480,Semi-Auto,14612,Diesel,145,55.4,2
 1 Series,16280,Semi-Auto,5796,Petrol,125,54.3,1.5
 4 Series,26950,Semi-Auto,500,Diesel,145,65.7,2
 3 Series,17980,Semi-Auto,13350,Petrol,145,51.4,2
 4 Series,25990,Semi-Auto,11,Diesel,145,58.9,2
 3 Series,24990,Manual,4229,Diesel,145,64.2,2
 2 Series,21000,Semi-Auto,29484,Petrol,145,39.8,3
 4 Series,25000,Semi-Auto,8592,Diesel,145,65.7,2
 3 Series,20900,Semi-Auto,30243,Petrol,145,48.7,2
 1 Series,11250,Manual,35447,Diesel,20,68.9,2
 5 Series,12891,Semi-Auto,72000,Diesel,125,57.6,2
 4 Series,15991,Semi-Auto,37847,Diesel,150,65.7,2
 2 Series,16195,Automatic,23594,Hybrid,0,141.2,1.5
 4 Series,20991,Manual,11455,Petrol,150,46.3,2
 1 Series,11711,Manual,40560,Diesel,125,57.6,2
 4 Series,15650,Manual,34236,Petrol,160,46.3,2
 1 Series,14397,Manual,9243,Petrol,145,52.3,1.5
 1 Series,11650,Manual,29116,Diesel,145,83.1,1.5
 1 Series,14420,Manual,17357,Diesel,20,70.6,1.5
 4 Series,21980,Semi-Auto,10146,Diesel,145,65.7,2
 4 Series,32950,Semi-Auto,10,Petrol,145,41.5,3
 4 Series,27950,Semi-Auto,10,Petrol,145,45.6,2
 4 Series,27950,Manual,10,Diesel,145,62.8,2
 4 Series,26950,Semi-Auto,10,Petrol,145,48.7,2
 1 Series,13984,Manual,15445,Petrol,125,52.3,1.5
 5 Series,14280,Automatic,52889,Diesel,30,62.8,2
 3 Series,12600,Manual,19800,Petrol,125,52.3,1.5
 3 Series,13391,Manual,62354,Diesel,125,58.9,2
 3 Series,11491,Manual,55700,Diesel,125,60.1,2
 5 Series,12393,Semi-Auto,80582,Diesel,30,62.8,2
 2 Series,13521,Semi-Auto,55001,Diesel,20,68.9,2
 1 Series,14995,Manual,13472,Diesel,145,65.7,2
 3 Series,19498,Semi-Auto,32723,Petrol,150,48.7,2
 4 Series,23798,Semi-Auto,8781,Diesel,145,55.4,3
 2 Series,19741,Manual,4500,Petrol,150,52.3,1.5
 1 Series,20491,Manual,12000,Petrol,150,36.2,3
 1 Series,18991,Semi-Auto,16279,Petrol,240,37.7,3
 1 Series,13091,Manual,35000,Diesel,30,65.7,2
 1 Series,14491,Semi-Auto,28542,Diesel,150,48.7,1.5
 3 Series,16498,Semi-Auto,22489,Hybrid,0,148.7,2
 3 Series,13798,Semi-Auto,59936,Diesel,125,58.9,2
 1 Series,14195,Semi-Auto,38094,Diesel,30,65.7,2
 4 Series,42194,Semi-Auto,101,Petrol,145,39.2,3
 5 Series,17330,Semi-Auto,31570,Diesel,30,62.8,2
 1 Series,13250,Manual,26625,Petrol,125,53.3,1.5
 2 Series,17699,Semi-Auto,32746,Petrol,265,37.2,3
 4 Series,36902,Semi-Auto,101,Diesel,145,58.9,2
 1 Series,31016,Semi-Auto,101,Diesel,145,48.7,2
 3 Series,35158,Semi-Auto,101,Diesel,145,48.7,2
 3 Series,36402,Semi-Auto,101,Petrol,145,40.4,2
 3 Series,21000,Semi-Auto,10959,Diesel,145,64.2,2
 5 Series,29500,Semi-Auto,9629,Diesel,145,56.5,3
 3 Series,19992,Semi-Auto,32456,Diesel,145,62.8,2
 2 Series,21012,Semi-Auto,36367,Petrol,200,39.8,3
 2 Series,21726,Semi-Auto,24442,Petrol,145,39.8,3
 1 Series,13158,Semi-Auto,31218,Diesel,20,70.6,2
 5 Series,15189,Semi-Auto,54636,Diesel,125,60.1,2
 1 Series,12741,Manual,42500,Diesel,20,68.9,2
 3 Series,19300,Semi-Auto,13500,Hybrid,0,134.5,2
 1 Series,14644,Manual,31900,Diesel,30,62.8,2
 3 Series,21560,Semi-Auto,36646,Diesel,145,53.3,3
 1 Series,21798,Semi-Auto,12967,Petrol,200,39.8,3
 3 Series,20498,Semi-Auto,19620,Petrol,145,48.7,2
 3 Series,15498,Semi-Auto,13377,Petrol,125,51.4,2
 3 Series,20298,Semi-Auto,26751,Petrol,145,48.7,2
 3 Series,20998,Semi-Auto,14486,Petrol,150,48.7,2
 4 Series,18000,Automatic,15788,Diesel,30,65.7,2
 3 Series,19895,Semi-Auto,26200,Diesel,165,51.4,3
 2 Series,17798,Semi-Auto,9816,Petrol,150,38.2,2
 3 Series,14595,Automatic,24624,Petrol,145,51.4,2
 3 Series,28361,Semi-Auto,13547,Petrol,145,42.2,2
 2 Series,27416,Semi-Auto,2171,Diesel,145,64.2,2
 5 Series,22850,Semi-Auto,20951,Diesel,125,60.1,2
 1 Series,16250,Semi-Auto,35332,Diesel,150,60.1,2
 5 Series,40985,Semi-Auto,7998,Petrol,145,50.4,2
 2 Series,21300,Manual,2455,Diesel,145,51.4,2
 2 Series,21600,Manual,1455,Diesel,145,51.4,2
 3 Series,25330,Semi-Auto,2307,Diesel,145,65.7,2
 3 Series,14230,Manual,57736,Petrol,145,47.9,2
 4 Series,20750,Semi-Auto,7261,Diesel,145,60.1,2
 5 Series,42650,Semi-Auto,101,Petrol,145,50.4,2
 3 Series,22500,Semi-Auto,24079,Diesel,205,49.6,3
 3 Series,15000,Semi-Auto,47773,Diesel,125,58.9,2
 4 Series,24250,Automatic,5758,Diesel,145,65.7,2
 3 Series,24000,Automatic,12473,Diesel,145,52.3,2
 3 Series,27850,Automatic,2965,Diesel,145,52.3,2
 3 Series,22900,Semi-Auto,27800,Petrol,145,48.7,2
 4 Series,25900,Semi-Auto,12202,Petrol,145,48.7,2
 5 Series,42650,Semi-Auto,101,Petrol,145,50.4,2
 5 Series,42400,Semi-Auto,101,Petrol,145,50.4,2
 3 Series,23298,Semi-Auto,15221,Diesel,145,62.8,2
 2 Series,21500,Manual,6649,Petrol,145,42.2,1.5
 3 Series,21397,Semi-Auto,5034,Diesel,145,62.8,2
 2 Series,26991,Manual,103,Diesel,145,51.4,2
 2 Series,27990,Semi-Auto,1614,Diesel,145,49.6,2
 2 Series,28361,Semi-Auto,101,Petrol,145,50.4,2
 3 Series,13298,Semi-Auto,62655,Diesel,30,64.2,2
 4 Series,19444,Semi-Auto,55297,Diesel,160,50.4,3
 5 Series,26500,Automatic,17766,Diesel,145,60.1,3
 2 Series,19000,Semi-Auto,9641,Petrol,145,38.2,2
 3 Series,26750,Semi-Auto,4327,Diesel,145,53.3,3
 3 Series,19900,Semi-Auto,12030,Diesel,145,64.2,2
 3 Series,14558,Semi-Auto,28487,Petrol,125,54.3,1.5
 3 Series,37991,Semi-Auto,7447,Petrol,150,34.9,3
 2 Series,16991,Manual,20626,Diesel,30,62.8,2
 5 Series,28800,Semi-Auto,5360,Diesel,145,65.7,2
 3 Series,29480,Semi-Auto,2228,Diesel,145,52.3,2
 1 Series,16980,Manual,12,Diesel,145,68.9,2
 4 Series,24785,Semi-Auto,2924,Petrol,145,48.7,2
 4 Series,18490,Semi-Auto,38692,Diesel,30,65.7,2
 3 Series,19490,Semi-Auto,28816,Petrol,150,48.7,2
 3 Series,26260,Semi-Auto,14612,Petrol,145,41.5,3
 3 Series,14531,Semi-Auto,41330,Diesel,125,61.4,2
 2 Series,17858,Automatic,28561,Hybrid,0,135.5,1.5
 1 Series,19991,Manual,20302,Petrol,145,36.2,3
 3 Series,27480,Manual,18,Diesel,145,54.3,2
 4 Series,29840,Semi-Auto,6011,Diesel,145,60.1,2
 2 Series,21480,Manual,3347,Diesel,145,61.4,2
 2 Series,19980,Manual,1900,Petrol,145,42.8,1.5
 2 Series,19980,Manual,10,Petrol,145,42.8,1.5
 3 Series,27480,Manual,4398,Diesel,145,54.3,2
 2 Series,21890,Semi-Auto,11,Petrol,150,50.4,1.5
 3 Series,26498,Semi-Auto,17794,Diesel,145,48.7,2
 1 Series,11491,Manual,36200,Diesel,0,83.1,1.5
 1 Series,15991,Semi-Auto,50039,Petrol,235,37.7,3
 3 Series,15991,Semi-Auto,48000,Diesel,150,53.3,3
 5 Series,29991,Semi-Auto,12000,Diesel,150,60.1,3
 4 Series,15991,Manual,28000,Petrol,165,44.8,2
 3 Series,30940,Semi-Auto,1586,Diesel,150,50.4,2
 2 Series,22990,Manual,8567,Diesel,150,51.4,2
 1 Series,29950,Semi-Auto,3422,Diesel,150,48.7,2
 3 Series,20990,Semi-Auto,6971,Diesel,125,60.1,2
 3 Series,13990,Semi-Auto,29046,Diesel,30,62.8,2
 2 Series,18990,Semi-Auto,31208,Diesel,150,65.7,2
 5 Series,26990,Semi-Auto,14,Petrol,150,50.4,2
 2 Series,14490,Semi-Auto,40115,Diesel,30,64.2,2
 3 Series,13990,Semi-Auto,45116,Petrol,150,47.9,2
 5 Series,32990,Semi-Auto,4716,Diesel,150,53.3,3
 2 Series,20840,Semi-Auto,6050,Petrol,150,50.4,1.5
 1 Series,15450,Semi-Auto,19383,Diesel,150,72.4,1.5
 1 Series,20990,Semi-Auto,25249,Diesel,150,61.4,2
 5 Series,25490,Semi-Auto,5656,Petrol,150,50.4,2
 3 Series,37490,Semi-Auto,9565,Petrol,150,34.9,3
 5 Series,42124,Semi-Auto,101,Petrol,145,39.2,3
 4 Series,34885,Semi-Auto,4883,Diesel,145,60.1,2
 1 Series,32760,Semi-Auto,2690,Petrol,145,34.5,2
 4 Series,22690,Semi-Auto,4940,Diesel,150,65.7,2
 4 Series,22490,Semi-Auto,7949,Diesel,150,65.7,2
 2 Series,18990,Semi-Auto,13600,Petrol,150,38.2,2
 3 Series,20030,Semi-Auto,44751,Petrol,145,48.7,2
 4 Series,20385,Semi-Auto,19221,Diesel,145,65.7,2
 3 Series,21420,Semi-Auto,21328,Diesel,145,60.1,2
 4 Series,19972,Semi-Auto,15705,Petrol,145,48.7,2
 4 Series,21216,Semi-Auto,11685,Diesel,145,65.7,2
 3 Series,20298,Manual,6018,Diesel,145,64.2,2
 4 Series,32087,Semi-Auto,1678,Diesel,145,65.7,2
 3 Series,16200,Semi-Auto,17252,Diesel,30,62.8,2
 1 Series,26991,Semi-Auto,5,Petrol,145,40.4,1.5
 3 Series,17991,Semi-Auto,48356,Diesel,30,64.2,2
 4 Series,21990,Semi-Auto,9654,Diesel,150,65.7,2
 4 Series,24490,Manual,9232,Petrol,150,42.8,2
 4 Series,23490,Semi-Auto,8175,Diesel,150,65.7,2
 3 Series,28990,Semi-Auto,14,Diesel,150,50.4,2
 5 Series,35840,Semi-Auto,11,Diesel,145,53.3,3
 4 Series,16990,Semi-Auto,24450,Petrol,205,42.8,2
 5 Series,31490,Semi-Auto,11798,Petrol,150,39.2,3
 3 Series,16990,Semi-Auto,29706,Diesel,30,62.8,2
 1 Series,14950,Manual,13971,Diesel,150,68.9,2
 2 Series,14990,Semi-Auto,16685,Petrol,125,53.3,1.5
 2 Series,14990,Manual,14643,Petrol,125,52.3,1.5
 5 Series,27990,Semi-Auto,9,Petrol,150,36.2,2
 3 Series,24990,Semi-Auto,22,Diesel,150,54.3,2
 2 Series,21890,Semi-Auto,10,Petrol,150,50.4,1.5
 5 Series,26990,Semi-Auto,6,Petrol,145,52.3,2
 3 Series,17490,Semi-Auto,18138,Diesel,145,64.2,2
 1 Series,23490,Manual,6565,Diesel,150,53.3,2
 2 Series,22990,Semi-Auto,11,Petrol,150,47.9,2
 1 Series,24490,Semi-Auto,2036,Diesel,150,53.3,2
 3 Series,24990,Semi-Auto,16,Diesel,150,54.3,2
 5 Series,27990,Semi-Auto,9,Hybrid,150,49.6,2
 4 Series,28990,Semi-Auto,5656,Diesel,150,50.4,3
 1 Series,25490,Manual,10,Diesel,145,53.3,2
 5 Series,26350,Semi-Auto,10312,Diesel,145,65.7,2
 1 Series,29490,Semi-Auto,7656,Petrol,150,34.5,2
 3 Series,30850,Semi-Auto,5656,Diesel,150,48.7,2
 2 Series,24990,Semi-Auto,10,Petrol,145,50.4,2
 1 Series,24450,Manual,10,Petrol,145,41.5,1.5
 4 Series,27890,Semi-Auto,2476,Petrol,145,48.7,2
 4 Series,26490,Semi-Auto,1652,Petrol,145,45.6,2
 4 Series,25850,Semi-Auto,2146,Diesel,145,65.7,2
 4 Series,25850,Semi-Auto,1980,Diesel,145,65.7,2
 2 Series,22650,Manual,100,Diesel,145,61.4,2
 5 Series,22600,Semi-Auto,14102,Diesel,145,68.9,2
 3 Series,23980,Semi-Auto,4628,Diesel,145,62.8,2
 5 Series,29990,Semi-Auto,10,Petrol,145,50.4,2
 4 Series,25980,Manual,14,Petrol,145,46.3,2
 1 Series,20490,Manual,6262,Petrol,145,44.1,1.5
 3 Series,28990,Semi-Auto,5656,Diesel,145,52.3,2
 3 Series,30490,Semi-Auto,6565,Diesel,145,50.4,2
 3 Series,32790,Semi-Auto,5656,Diesel,145,47.9,3
 1 Series,30990,Semi-Auto,5656,Petrol,145,34.5,2
 3 Series,33990,Semi-Auto,5665,Petrol,145,40.4,2
 4 Series,23450,Semi-Auto,6900,Diesel,145,65.7,2
 2 Series,17261,Manual,25637,Petrol,300,34.9,3
 1 Series,22991,Semi-Auto,15709,Petrol,145,39.8,3
 4 Series,24800,Semi-Auto,29435,Diesel,145,49.6,3
 5 Series,26350,Semi-Auto,4694,Diesel,145,65.7,2
 3 Series,28450,Semi-Auto,9809,Petrol,145,43.5,2
 5 Series,26350,Semi-Auto,6260,Diesel,145,65.7,2
 5 Series,26350,Semi-Auto,9334,Diesel,145,65.7,2
 3 Series,28990,Semi-Auto,4,Diesel,145,62.8,2
 3 Series,24450,Manual,4725,Diesel,145,54.3,2
 3 Series,27450,Semi-Auto,7827,Petrol,145,43.5,2
 5 Series,26490,Semi-Auto,10656,Diesel,150,65.7,2
 5 Series,24397,Semi-Auto,10423,Diesel,145,65.7,2
 4 Series,28697,Semi-Auto,4927,Diesel,145,50.4,3
 1 Series,29950,Semi-Auto,10,Diesel,145,48.7,2
 4 Series,25450,Semi-Auto,1678,Petrol,145,48.7,2
 1 Series,27490,Semi-Auto,2270,Diesel,145,51.4,2
 5 Series,34850,Semi-Auto,16,Hybrid,145,44.8,2
 3 Series,23490,Manual,15,Diesel,145,58.9,2
 3 Series,29990,Semi-Auto,9,Diesel,145,50.4,2
 3 Series,23990,Manual,13,Diesel,145,56.5,2
 1 Series,18897,Semi-Auto,32632,Petrol,200,39.8,3
 3 Series,27997,Semi-Auto,16330,Diesel,145,49.6,3
 3 Series,28497,Semi-Auto,9898,Diesel,145,49.6,3
 3 Series,24597,Semi-Auto,5574,Petrol,145,48.7,2
 2 Series,32271,Semi-Auto,103,Diesel,145,49.6,2
 2 Series,22991,Manual,103,Petrol,145,44.1,1.5
 2 Series,22490,Manual,10,Petrol,145,52.3,1.5
 1 Series,22490,Manual,10,Petrol,145,44.1,1.5
 1 Series,27990,Semi-Auto,10,Diesel,145,51.4,2
 1 Series,23990,Manual,10,Petrol,145,41.5,1.5
 1 Series,24990,Manual,10,Diesel,145,53.3,2
 1 Series,21990,Semi-Auto,10,Diesel,20,68.9,1.5
 1 Series,18990,Manual,10,Diesel,20,72.4,1.5
 3 Series,29990,Semi-Auto,7460,Diesel,145,48.7,2
 3 Series,28440,Semi-Auto,8788,Diesel,145,48.7,2
 5 Series,32850,Semi-Auto,5,Hybrid,145,62.8,2
 5 Series,27990,Semi-Auto,8,Hybrid,145,52.3,2
 4 Series,33890,Semi-Auto,9,Diesel,145,51.4,3
 5 Series,23980,Semi-Auto,29539,Diesel,145,60.1,2
 3 Series,30326,Semi-Auto,3392,Petrol,145,41.5,2
 3 Series,22850,Semi-Auto,12,Petrol,145,43.5,2
 5 Series,16300,Semi-Auto,21464,Diesel,20,68.9,2
 3 Series,35990,Semi-Auto,112,Diesel,145,51.4,3
 1 Series,21940,Manual,514,Petrol,145,44.1,1.5
 1 Series,19490,Manual,10,Diesel,0,78.5,1.5
 4 Series,25945,Semi-Auto,20011,Petrol,145,41.5,3
 3 Series,22875,Semi-Auto,8973,Petrol,145,47.9,2
 2 Series,21945,Semi-Auto,11687,Petrol,145,47.9,2
 2 Series,22440,Manual,10,Petrol,145,52.3,1.5
 3 Series,31390,Semi-Auto,5029,Petrol,145,40.9,2
 3 Series,24990,Manual,4753,Diesel,145,64.2,2
 3 Series,24950,Manual,3238,Diesel,145,64.2,2
 5 Series,30980,Semi-Auto,9709,Diesel,145,56.5,3
 3 Series,23790,Semi-Auto,8178,Petrol,145,47.9,2
 3 Series,23980,Semi-Auto,2198,Petrol,145,47.9,2
 4 Series,24975,Semi-Auto,9533,Diesel,145,65.7,2
 2 Series,23110,Semi-Auto,19598,Petrol,145,39.8,3
 4 Series,17450,Semi-Auto,27089,Diesel,30,65.7,2
 1 Series,22490,Semi-Auto,23120,Petrol,145,39.8,3
 2 Series,16000,Semi-Auto,29788,Diesel,30,64.2,2
 2 Series,26095,Manual,101,Petrol,145,52.3,1.5
 1 Series,17697,Manual,3312,Petrol,145,52.3,1.5
 1 Series,24490,Manual,102,Diesel,145,65.7,2
 1 Series,19490,Manual,10,Diesel,20,72.4,1.5
 1 Series,19990,Manual,10,Petrol,125,53.3,1.5
 4 Series,16900,Automatic,19834,Diesel,145,65.7,2
 3 Series,15620,Manual,19281,Diesel,145,60.1,2
 2 Series,24475,Manual,117,Diesel,145,51.4,2
 2 Series,23475,Semi-Auto,12,Petrol,145,50.4,1.5
 4 Series,22440,Semi-Auto,13673,Petrol,145,48.7,2
 5 Series,36875,Semi-Auto,10,Diesel,145,53.3,3
 5 Series,26350,Semi-Auto,9062,Diesel,145,65.7,2
 1 Series,20990,Manual,10,Diesel,20,68.9,2
 2 Series,22950,Semi-Auto,11,Diesel,145,64.2,2
 2 Series,23890,Semi-Auto,14,Diesel,145,62.8,2
 4 Series,33490,Semi-Auto,10,Diesel,145,51.4,3
 5 Series,35475,Semi-Auto,15,Diesel,145,53.3,3
 3 Series,23775,Semi-Auto,2552,Petrol,145,47.9,2
 3 Series,23775,Semi-Auto,2359,Petrol,145,47.9,2
 5 Series,12298,Semi-Auto,52598,Diesel,30,62.8,2
 1 Series,15995,Manual,5500,Diesel,145,68.9,2
 1 Series,8250,Manual,67654,Diesel,0,74.3,1.6
 3 Series,14894,Semi-Auto,36771,Diesel,125,57.6,3
 3 Series,18000,Semi-Auto,29978,Diesel,160,51.4,3
 5 Series,27980,Semi-Auto,29482,Diesel,145,53.3,3
 4 Series,24980,Manual,10,Petrol,160,46.3,2
 4 Series,41990,Automatic,10,Petrol,200,41.5,3
 1 Series,19490,Manual,10,Petrol,125,53.3,1.5
 2 Series,23975,Semi-Auto,3013,Diesel,150,64.2,2
 4 Series,28975,Semi-Auto,3783,Diesel,150,49.6,3
 3 Series,32475,Semi-Auto,12,Diesel,145,48.7,2
 5 Series,32475,Semi-Auto,12,Hybrid,145,49.6,2
 3 Series,33475,Semi-Auto,12,Diesel,145,48.7,2
 3 Series,14998,Semi-Auto,81455,Diesel,200,49.6,3
 3 Series,21998,Semi-Auto,17810,Diesel,145,60.1,2
 3 Series,19498,Semi-Auto,17686,Diesel,145,64.2,2
 2 Series,21990,Manual,10,Diesel,145,64.2,2
 2 Series,20990,Semi-Auto,10,Petrol,145,52.3,1.5
 3 Series,26450,Manual,3055,Diesel,145,54.3,2
 3 Series,26450,Manual,3093,Diesel,145,54.3,2
 1 Series,20990,Manual,10,Diesel,20,68.9,2
 4 Series,23450,Semi-Auto,11,Diesel,145,65.7,2
 5 Series,35790,Semi-Auto,12,Diesel,145,53.3,3
 5 Series,35790,Semi-Auto,12,Diesel,145,53.3,3
 1 Series,20975,Semi-Auto,11932,Petrol,145,39.8,3
 3 Series,31440,Semi-Auto,4675,Petrol,145,40.9,2
 3 Series,23975,Semi-Auto,5749,Petrol,145,47.9,2
 5 Series,26990,Semi-Auto,11,Petrol,145,52.3,2
 1 Series,16275,Manual,12879,Petrol,145,53.3,1.5
 3 Series,24775,Manual,3368,Diesel,145,64.2,2
 1 Series,9730,Manual,26845,Diesel,0,78.5,1.5
 3 Series,11000,Semi-Auto,69382,Diesel,125,57.6,3
 5 Series,10037,Automatic,77262,Diesel,125,60.1,2
 2 Series,16419,Manual,11198,Petrol,145,42.2,1.5
 3 Series,24775,Manual,3758,Diesel,145,64.2,2
 3 Series,23990,Manual,4026,Diesel,145,64.2,2
 3 Series,31390,Semi-Auto,3097,Petrol,145,41.5,2
 1 Series,28975,Semi-Auto,7110,Petrol,150,34.5,2
 3 Series,25975,Semi-Auto,3119,Petrol,150,42.2,2
 3 Series,27975,Semi-Auto,8856,Diesel,150,52.3,2
 2 Series,23990,Semi-Auto,18,Diesel,150,49.6,2
 2 Series,21890,Semi-Auto,12,Petrol,150,50.4,1.5
 4 Series,25980,Semi-Auto,14,Diesel,145,65.7,2
 3 Series,9200,Automatic,83944,Diesel,125,60.1,2
 3 Series,31275,Semi-Auto,5494,Petrol,145,41.5,2
 3 Series,24275,Semi-Auto,10361,Diesel,145,62.8,2
 4 Series,24775,Semi-Auto,10535,Diesel,145,65.7,2
 5 Series,26275,Semi-Auto,7585,Diesel,145,65.7,2
 5 Series,33775,Semi-Auto,12900,Diesel,145,53.3,3
 5 Series,28975,Semi-Auto,2013,Diesel,145,60.1,2
 4 Series,25775,Semi-Auto,12,Diesel,150,65.7,2
 1 Series,10975,Manual,38000,Diesel,30,65.7,2
 3 Series,25950,Semi-Auto,3977,Petrol,145,43.5,2
 5 Series,26350,Semi-Auto,8324,Diesel,145,65.7,2
 3 Series,30990,Semi-Auto,3656,Diesel,150,50.4,2
 3 Series,27990,Semi-Auto,6565,Petrol,150,42.2,2
 1 Series,25450,Semi-Auto,6565,Diesel,150,51.4,2
 2 Series,26475,Semi-Auto,12,Diesel,145,51.4,2
